price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age,estimate_msrp,predicted_price,gap_ratio,price_class
16999,chrysler,300,excellent,6 cylinders,gas,74465.0,clean,automatic,2C3CCAEG5GH252613,rwd,sedan,white,5.0,41100.0,17476.24,-0.027307933514302937,1
15999,toyota,camry,good,4 cylinders,gas,80110.0,clean,automatic,4T1BF1FK9HU788962,rwd,sedan,grey,4.0,25220.0,15698.42,0.0191471498405572,1
30990,dodge,challengerrtcoupe2d,good,8 cylinders,gas,38399.0,clean,other,2C3CDZBTXHH561296,rwd,coupe,black,4.0,32295.0,30602.0,0.012678909875171557,1
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0,58355.0,29590.0,0.0,1
20900,audi,s5,excellent,8 cylinders,gas,80700.0,clean,automatic,WAUVVAFRXAA042672,4wd,coupe,black,11.0,51000.0,19146.33,0.0915930102531398,1
9999,ford,focus,good,4 cylinders,gas,76525.0,clean,automatic,1FADP3N23GL383407,fwd,hatchback,silver,5.0,24300.0,11533.85,-0.13307351838284703,0
32990,ford,mustanggtcoupe2d,good,8 cylinders,gas,27726.0,clean,other,1FA6P8CF8J5184067,rwd,coupe,red,3.0,42500.0,33145.1,-0.004679424711344921,1
19999,gmc,sierra1500,excellent,8 cylinders,gas,81000.0,clean,automatic,1GTR1VE07BZ321929,rwd,pickup,white,10.0,32700.0,19058.71,0.04933649759086533,1
28590,chevrolet,blazer2ltsport,good,6 cylinders,gas,23252.0,clean,other,3GNKBCRS6LS618954,fwd,other,silver,1.0,35795.0,28883.53,-0.010162538997137776,1
7900,volkswagen,jettavi,good,4 cylinders,gas,91550.0,clean,automatic,3VWD17AJ7FM247680,fwd,sedan,blue,6.0,22495.0,8985.47,-0.120802807198733,0
15900,chevrolet,impala,excellent,6 cylinders,gas,70740.0,clean,automatic,2G1105S30H9183953,fwd,sedan,black,4.0,30700.0,16221.91,-0.01984414905519756,1
23965,subaru,outback25itouring,excellent,4 cylinders,gas,53377.0,clean,automatic,4S4BSATC1H3351150,4wd,hatchback,white,4.0,34600.0,23841.3,0.005188475460650247,1
34990,gmc,canyoncrewcabslepickup,good,6 cylinders,gas,34425.0,clean,other,1GTG6CE36G1115577,4wd,pickup,red,5.0,35500.0,34910.0,0.0022916069894013177,1
39590,ford,mustanggtpremiumcoupe2d,good,8 cylinders,gas,1419.0,clean,other,1FA6P8CF5L5136223,rwd,coupe,white,1.0,42530.0,39590.0,0.0,1
36590,buick,enclaveessencesport,good,6 cylinders,gas,3993.0,clean,other,5GAERBKW4LJ317921,fwd,other,white,1.0,43800.0,36533.1,0.0015574916993083385,1
14998,honda,civicex,good,4 cylinders,gas,110462.0,clean,automatic,SHHFK7H51HU422397,fwd,hatchback,grey,4.0,22700.0,13900.69,0.07893924690069339,1
2200,jeep,liberty,good,6 cylinders,gas,215000.0,clean,automatic,1J4GL58K43W730949,4wd,SUV,brown,18.0,32200.0,2909.93,-0.24396806796039763,0
31475,ram,2500,good,8 cylinders,gas,113267.0,clean,automatic,3C6UR5CJ1HG501924,4wd,truck,white,4.0,41400.0,31084.95,0.012547872845219287,1
29590,ford,expeditionxltsport,good,6 cylinders,gas,70760.0,clean,other,1FMJU1JT1HEA52352,4wd,SUV,blue,4.0,51715.0,29590.0,0.0,1
3800,toyota,prius,good,4 cylinders,hybrid,255000.0,clean,automatic,JTDKB20UX57020904,fwd,hatchback,blue,16.0,23900.0,3889.9,-0.02311113396231268,1
22250,nissan,leafsvplushatchback4d,excellent,other,electric,16450.0,clean,automatic,1N4BZ1CP6KC313090,fwd,hatchback,white,2.0,29990.0,22515.8,-0.011805043569404565,1
16988,ram,promastercitycargovan,good,4 cylinders,gas,89068.0,clean,automatic,ZFBERFAB1H6D84092,fwd,van,white,4.0,23000.0,16656.89,0.01987826058766076,1
19900,chevrolet,colorado,excellent,4 cylinders,gas,77495.0,clean,automatic,1GCHSBEA7G1210089,rwd,truck,red,5.0,20500.0,18762.79,0.06060985599689594,1
13950,honda,pilot,excellent,6 cylinders,gas,152450.0,clean,manual,5FNYF4H69CB002708,4wd,SUV,blue,9.0,39995.0,13152.78,0.06061228120595032,1
36990,ford,f150supercrewcabxlt,good,6 cylinders,other,15443.0,clean,automatic,1FTEW1EG9HFC85502,4wd,pickup,red,4.0,45700.0,37227.1,-0.006369016119977074,1
43990,ram,1500crewcabbighorn,good,8 cylinders,gas,17352.0,clean,other,1C6SRFFT7KN755503,4wd,pickup,black,2.0,45400.0,42757.35,0.028828961570349927,1
52900,gmc,sierra2500hd,excellent,8 cylinders,diesel,104000.0,clean,automatic,1GT12UE88GF101539,4wd,truck,black,5.0,65000.0,51815.45,0.020931015749163676,1
